,yelp_id,yelp_name,yelp_review_count,yelp_rating,yelp_address,latitude,longitude,citibike_id
165,,,,,,49.27821,49.27821,a6aec7b8c25da4c02829cd7839b8933d
166,,,,,,49.281301,49.281301,c924f6a41b130fad49cfae47271314bc
167,,,,,,49.283298,49.283298,8e93d0da1ee6caadf21ed9575b5fa9da
168,,,,,,49.280787,49.280787,9413725a5d3bb5ce2ad0682b07a3ffab
169,,,,,,49.266476,49.266476,7ed043a19e6a4ece742fe747b663bdbf
170,,,,,,49.290587,49.290587,ce5dccf5a0f190bb4567a2fd93e7971e
171,,,,,,49.262835,49.262835,1d442ad1a71774c82688a45954e47bfd
172,,,,,,49.256825,49.256825,2781435bde344e1b64f1bebac6bc9008
173,,,,,,49.275683,49.275683,e9b37f2d9b7b2e2e3ade73f13acb69b2
174,,,,,,49.263518,49.263518,fffd87607aaae16fbb1f71615cbe7d17
175,,,,,,49.28691,49.28691,da8b6e94f90ad41a3f8de10596992372
176,,,,,,49.282503,49.282503,32f70f7ae14ba87523c6286a6c4d5c37
177,,,,,,49.283749,49.283749,df5ab349a7a85d4b10da4cc3ec65c607
178,,,,,,49.262944,49.262944,e0318460138ffbf4692005d5b5a9f900
179,,,,,,49.27029,49.27029,db51c556fe50ec1deefbc9697c70cb51
180,,,,,,49.280427,49.280427,58a026f0c506caec20697a4f90538450
181,,,,,,49.279259,49.279259,0e0aef6fabaa808b3a3cef24657257a4
182,,,,,,49.285836,49.285836,90c746df94ce1a12f1f617acfe4a8ce3
183,,,,,,49.272969,49.272969,80b5c12ef21fd47275d37b2c9935249c
184,,,,,,49.27247,49.27247,899f59a9994302e8e1e4be01117ef707
185,,,,,,49.271471,49.271471,8d2d5bb3b9142f781f2a7f441e6bad7a
186,,,,,,49.290112,49.290112,5de0fe55497681d4cc9dd25509cf51ab
187,,,,,,49.263523,49.263523,2681455ba2d97283998a806b14d3e95c
188,,,,,,49.264928,49.264928,064a7b39b1dbc4bfc4cf8f454e360c57
189,,,,,,49.264483,49.264483,9c1397c06e07bf74fc049f1a0872eea0
190,,,,,,49.264579,49.264579,9763838317308a4766b83696986a157b
191,,,,,,49.263746,49.263746,c64ee19c62a363019ddbaedf71df2882
192,,,,,,49.258761,49.258761,421516af381a11f54d07fc79be68d3d3
193,,,,,,49.268974,49.268974,38f045e3f43f86eae42ca4c60257ade0
194,,,,,,49.273011,49.273011,5ba6e9725b1b0ee8cd25df976e47726b
195,,,,,,49.266924,49.266924,f90ed7ad754ec04b7852941a480a4c77
196,,,,,,49.264326,49.264326,abfaf72456a4828a22f5bf60d3a80777
197,,,,,,49.266636,49.266636,2ff7eb4230654603592ab1b0780ec5e1
198,,,,,,49.254818,49.254818,ea9485fcdce0611243474d000e4ad248
199,,,,,,49.268837,49.268837,671ce9e4a92063620f772d2c57f0f3ab
200,,,,,,49.255034,49.255034,41a55a7e2908fbbd65175b794d26bc8d
201,,,,,,49.271044,49.271044,a59924f0ff3fb481a7bd8a5e9c36858f
202,,,,,,49.252691,49.252691,89a0b49a66e54a7639ad960962148a3e
203,,,,,,49.272172,49.272172,44fc3d58831a9f2b919c7a3a1838b74a
204,,,,,,49.271082,49.271082,d40db8c27c5bd409d57cfa846f73c378
